name,lat,lon
Managua,12.133333333333333,-86.250000
Niamey,13.516666666666667,2.116667
Abuja,9.083333333333334,7.533333
Alofi,-19.016666666666666,-169.916667
Saipan,15.2,145.750000
Oslo,59.916666666666664,10.750000
Muscat,23.616666666666667,58.583333
Islamabad,33.68333333333333,73.050000
Melekeok,7.483333333333333,134.633333
Panama City,8.966666666666667,-79.533333
Port Moresby,-9.45,147.183333
Asuncion,-25.266666666666666,-57.666667
Lima,-12.05,-77.050000
Manila,14.6,120.966667
Adamstown,-25.066666666666666,-130.083333
Warsaw,52.25,21.000000
Lisbon,38.71666666666667,-9.133333
San Juan,18.466666666666665,-66.116667
Doha,25.283333333333335,51.533333
Bucharest,44.43333333333333,26.100000
Moscow,55.75,37.600000
Kigali,-1.95,30.050000
Gustavia,17.883333333333333,-62.850000
Jamestown,-15.933333333333334,-5.716667
Basseterre,17.3,-62.716667
Castries,14,-61.000000
Saint-Pierre,46.766666666666666,-56.183333
Kingstown,13.133333333333333,-61.216667
Apia,-13.816666666666666,-171.766667
San Marino,43.93333333333333,12.416667
Sao Tome,0.3333333333333333,6.733333
Riyadh,24.65,46.700000
Dakar,14.733333333333333,-17.633333
Belgrade,44.833333333333336,20.500000
Victoria,-4.616666666666667,55.450000
Freetown,8.483333333333333,-13.233333
Singapore,1.2833333333333332,103.850000
Philipsburg,18.016666666666666,-63.033333
Bratislava,48.15,17.116667
Ljubljana,46.05,14.516667
Honiara,-9.433333333333334,159.950000
Mogadishu,2.066666666666667,45.333333
Pretoria,-25.7,28.216667
Juba,4.85,31.616667
Madrid,40.4,-3.683333
Colombo,6.916666666666667,79.833333
Khartoum,15.6,32.533333
Paramaribo,5.833333333333333,-55.166667
Longyearbyen,78.21666666666667,15.633333
Mbabane,-26.316666666666666,31.133333
Stockholm,59.333333333333336,18.050000
Bern,46.916666666666664,7.466667
Damascus,33.5,36.300000
Taipei,25.033333333333335,121.516667
Dushanbe,38.55,68.766667
Dar es Salaam,-6.8,39.283333
Bangkok,13.75,100.516667
Dili,-8.583333333333334,125.600000
Lome,6.116666666666666,1.216667
Nuku'alofa,-21.133333333333333,-175.200000
Port of Spain,10.65,-61.516667
Tunis,36.8,10.183333
